id,state,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total
1,AL,0,29173,27932,57105,1,29825,28405,58230,2,30623,29237,59860,3,30890,29583,60473,4,31313,30180,61493,5,31226,30296,61522,6,30884,29796,60680,7,30561,29644,60205,8,31269,29985,61254,9,31867,29913,61780,10,32471,31067,63538,11,33621,32347,65968,12,34567,33365,67932,13,34212,32836,67048,14,33304,31916,65220,15,33027,31524,64551,16,33233,31847,65080,17,32721,31729,64450,18,32355,31587,63942,19,33170,32754,65924,20,32616,33128,65744,21,32595,33105,65700,22,32767,32796,65563,23,32534,32236,64770,24,32146,31687,63833,25,31887,32000,63887,26,32575,32490,65065,27,32948,33097,66045,28,33398,34383,67781,29,34145,35613,69758,30,33600,35032,68632,31,32240,33394,65634,32,30927,32261,63188,33,30558,31821,62379,34,30332,31989,62321,35,30228,31996,62224,36,30032,31843,61875,37,30587,32150,62737,38,30800,32188,62988,39,31072,32428,63500,40,30589,32150,62739,41,29521,31343,60864,42,29423,31373,60796,43,28834,30650,59484,44,28231,29848,58079,45,28799,30348,59147,46,28904,30420,59324,47,30023,31599,61622,48,31929,33284,65213,49,33879,34926,68805,50,31888,33022,64910,51,30855,31826,62681,52,30277,31207,61484,53,30708,31821,62529,54,31417,32933,64350,55,33110,34842,67952,56,33692,35307,68999,57,33555,35373,68928,58,33958,36081,70039,59,33479,35711,69190,60,33044,35399,68443,61,32204,35015,67219,62,32125,35127,67252,63,31450,34313,65763,64,30334,33591,63925,65,29094,32759,61853,66,28024,31766,59790,67,26830,30604,57434,68,25977,29768,55745,69,24096,27767,51863,70,23489,27566,51055,71,23029,27019,50048,72,23113,27031,50144,73,23046,26540,49586,74,15770,19327,35097,75,15650,19242,34892,76,15331,19092,34423,77,14839,18885,33724,78,12504,16073,28577,79,11029,14396,25425,80,9904,13608,23512,81,9236,12948,22184,82,8313,11859,20172,83,7063,10386,17449,84,6395,9766,16161,85,29153,56376,85529
2,AK,0,4941,4716,9657,1,4987,4644,9631,2,5151,4753,9904,3,5235,4972,10207,4,5393,5101,10494,5,5197,5155,10352,6,5232,5087,10319,7,5297,5011,10308,8,5329,5067,10396,9,5365,5023,10388,10,5282,5010,10292,11,5475,4931,10406,12,5452,4956,10408,13,5265,4892,10157,14,4992,4737,9729,15,4988,4785,9773,16,4918,4691,9609,17,4893,4644,9537,18,4550,4039,8589,19,4633,3633,8266,20,5480,3944,9424,21,5786,4087,9873,22,5781,4314,10095,23,5841,4473,10314,24,5925,4540,10465,25,6017,4888,10905,26,6036,5085,11121,27,6219,5305,11524,28,6365,5636,12001,29,6383,5702,12085,30,6181,5730,11911,31,6015,5513,11528,32,5902,5523,11425,33,5967,5295,11262,34,6036,5422,11458,35,5916,5349,11265,36,5829,5190,11019,37,5848,5262,11110,38,5504,4986,10490,39,5346,4860,10206,40,5119,4609,9728,41,4814,4333,9147,42,4676,4244,8920,43,4510,4077,8587,44,4399,3911,8310,45,4354,3894,8248,46,4236,3720,7956,47,4320,3831,8151,48,4526,3994,8520,49,4810,4291,9101,50,4676,4238,8914,51,4576,3938,8514,52,4375,3909,8284,53,4411,4063,8474,54,4548,4150,8698,55,4841,4340,9181,56,4957,4483,9440,57,5064,4543,9607,58,5109,4620,9729,59,5116,4575,9691,60,5069,4528,9597,61,4778,4421,9199,62,4767,4375,9142,63,4525,4298,8823,64,4315,4219,8534,65,4358,4115,8473,66,4130,3811,7941,67,3853,3621,7474,68,3611,3415,7026,69,3277,3101,6378,70,3197,2941,6138,71,2950,2676,5626,72,2822,2560,5382,73,2654,2463,5117,74,1855,1844,3699,75,1825,1789,3614,76,1725,1670,3395,77,1598,1539,3137,78,1313,1359,2672,79,1169,1214,2383,80,962,1023,1985,81,830,905,1735,82,726,868,1594,83,651,748,1399,84,555,673,1228,85,2535,4062,6597
4,AZ,0,39928,38172,78100,1,40611,38799,79410,2,41519,39904,81423,3,43022,41505,84527,4,44548,42283,86831,5,45246,43521,88767,6,45313,43159,88472,7,44865,43436,88301,8,45325,43151,88476,9,45503,43685,89188,10,47050,44842,91892,11,48897,46781,95678,12,50784,48686,99470,13,50593,48361,98954,14,49047,47012,96059,15,48453,46315,94768,16,48316,46191,94507,17,47059,44959,92018,18,48958,47064,96022,19,50854,47487,98341,20,49095,46449,95544,21,49309,46322,95631,22,49377,46106,95483,23,49830,47142,96972,24,49842,46998,96840,25,50088,47073,97161,26,51209,47424,98633,27,51661,48054,99715,28,52287,49336,101623,29,53056,49692,102748,30,52279,48827,101106,31,49902,46712,96614,32,48851,45704,94555,33,48119,44844,92963,34,48662,45228,93890,35,47713,44608,92321,36,47180,44121,91301,37,47969,45140,93109,38,47428,45254,92682,39,47257,45260,92517,40,46494,44369,90863,41,43864,42313,86177,42,43226,42194,85420,43,42339,41456,83795,44,41734,41085,82819,45,42195,41718,83913,46,41236,40764,82000,47,41284,40656,81940,48,43015,42698,85713,49,45503,45004,90507,50,43840,43245,87085,51,42083,41672,83755,52,40694,40599,81293,53,40399,40791,81190,54,40671,41398,82069,55,42338,43504,85842,56,43041,44519,87560,57,43207,44938,88145,58,43794,45492,89286,59,43290,45596,88886,60,42555,45090,87645,61,41671,45111,86782,62,41778,45639,87417,63,40571,44758,85329,64,39653,43994,83647,65,39105,43599,82704,66,38155,43278,81433,67,37120,42365,79485,68,36557,41625,78182,69,34742,39699,74441,70,34766,39366,74132,71,34658,38919,73577,72,35574,39605,75179,73,36514,39738,76252,74,25543,28915,54458,75,25486,28820,54306,76,25462,28435,53897,77,24835,27877,52712,78,21005,24025,45030,79,18859,21464,40323,80,16951,19581,36532,81,15854,17954,33808,82,14365,16212,30577,83,12485,14298,26783,84,11126,13085,24211,85,54944,76846,131790
5,AR,0,18209,17402,35611,1,18480,17578,36058,2,18896,18169,37065,3,19270,18326,37596,4,19806,18786,38592,5,19866,18764,38630,6,19538,18506,38044,7,19590,18415,38005,8,20004,18643,38647,9,19861,18886,38747,10,20444,19462,39906,11,21044,20057,41101,12,21857,20740,42597,13,21796,20766,42562,14,20969,20168,41137,15,20827,19811,40638,16,20890,19848,40738,17,20720,19500,40220,18,19925,18996,38921,19,20224,19193,39417,20,20628,19569,40197,21,20250,19586,39836,22,20103,19756,39859,23,19538,19366,38904,24,19492,19048,38540,25,19306,18937,38243,26,19410,19185,38595,27,19676,19557,39233,28,20064,20148,40212,29,20683,20679,41362,30,20302,20385,40687,31,19527,19496,39023,32,19038,19121,38159,33,18808,18843,37651,34,18888,18921,37809,35,18826,18970,37796,36,19236,18964,38200,37,19406,19312,38718,38,19482,19234,38716,39,19611,19412,39023,40,19264,19143,38407,41,18463,18361,36824,42,18203,18327,36530,43,17615,17815,35430,44,17293,17338,34631,45,17470,17746,35216,46,17241,17514,34755,47,17458,17944,35402,48,18367,18789,37156,49,19363,19527,38890,50,18672,18467,37139,51,17862,17747,35609,52,17376,17453,34829,53,17782,17764,35546,54,18025,18297,36322,55,19114,19722,38836,56,19613,20269,39882,57,19579,20225,39804,58,19786,20287,40073,59,19377,20178,39555,60,19106,19897,39003,61,18819,19647,38466,62,18458,19770,38228,63,17950,19330,37280,64,17315,19080,36395,65,16909,18668,35577,66,16434,18240,34674,67,15821,17641,33462,68,15346,17070,32416,69,14230,16150,30380,70,13852,15844,29696,71,13606,15668,29274,72,13829,15587,29416,73,13935,15583,29518,74,9703,11355,21058,75,9641,11544,21185,76,9497,11367,20864,77,9074,11115,20189,78,7818,9702,17520,79,7038,8875,15913,80,6455,8074,14529,81,5839,7545,13384,82,5203,6902,12105,83,4606,6029,10635,84,4051,5759,9810,85,19660,35056,54716
6,CA,0,227711,217759,445470,1,229040,218987,448027,2,236219,225286,461505,3,245410,234103,479513,4,249189,237596,486785,5,253501,241777,495278,6,251745,239213,490958,7,252785,241870,494655,8,254186,241855,496041,9,257883,245221,503104,10,259597,247323,506920,11,266513,253173,519686,12,277032,261992,539024,13,274463,260648,535111,14,267377,254624,522001,15,264567,252689,517256,16,264547,253851,518398,17,261720,251085,512805,18,264387,255346,519733,19,262188,249781,511969,20,259792,244921,504713,21,257845,244465,502310,22,260567,248216,508783,23,268934,256905,525839,24,278517,265108,543625,25,286230,272838,559068,26,296075,279947,576022,27,303369,287206,590575,28,314502,297265,611767,29,325067,306682,631749,30,321722,305082,626804,31,312532,295916,608448,32,307026,288317,595343,33,301869,280745,582614,34,300750,279614,580364,35,295472,278244,573716,36,291914,274149,566063,37,293613,276798,570411,38,287742,273495,561237,39,282284,269699,551983,40,275989,263821,539810,41,261741,253110,514851,42,256959,250533,507492,43,251730,247250,498980,44,248835,244523,493358,45,249640,245661,495301,46,243548,240654,484202,47,245290,243256,488546,48,253813,250420,504233,49,267939,262934,530873,50,265449,258888,524337,51,254529,249689,504218,52,247152,242217,489369,53,244397,241022,485419,54,246254,243370,489624,55,253362,252424,505786,56,253728,254368,508096,57,250752,253631,504383,58,248845,251835,500680,59,246030,251099,497129,60,242435,246423,488858,61,232384,239500,471884,62,228981,237173,466154,63,218237,229382,447619,64,209889,224086,433975,65,203176,219178,422354,66,191580,208676,400256,67,181971,201578,383549,68,172431,192378,364809,69,161522,183021,344543,70,157010,179211,336221,71,149420,171989,321409,72,147357,169543,316900,73,146399,166566,312965,74,107323,127722,235045,75,104654,125468,230122,76,98783,119993,218776,77,94414,116058,210472,78,81254,101159,182413,79,73314,92677,165991,80,67244,86731,153975,81,62423,81107,143530,82,56884,75427,132311,83,50526,68568,119094,84,46098,63904,110002,85,254076,428560,682636
8,CO,0,31778,30457,62235,1,31780,30617,62397,2,32472,31587,64059,3,33889,32355,66244,4,34582,33184,67766,5,34811,33565,68376,6,34625,33366,67991,7,34559,33334,67893,8,35559,33490,69049,9,36327,34214,70541,10,37451,35394,72845,11,38332,36082,74414,12,39233,37026,76259,13,39148,37140,76288,14,38320,36455,74775,15,37989,36374,74363,16,38373,36634,75007,17,37696,35742,73438,18,38271,35467,73738,19,39354,35919,75273,20,38140,34247,72387,21,37920,34220,72140,22,38336,35110,73446,23,39424,36650,76074,24,41114,38180,79294,25,43508,39853,83361,26,45240,41676,86916,27,47026,43519,90545,28,48762,44540,93302,29,49191,44945,94136,30,48539,44867,93406,31,47476,43732,91208,32,46996,43209,90205,33,47706,42916,90622,34,47703,43009,90712,35,46628,42394,89022,36,45654,41728,87382,37,45657,41784,87441,38,44658,41041,85699,39,44148,40812,84960,40,42384,39606,81990,41,40344,37931,78275,42,39390,37262,76652,43,38081,35863,73944,44,37207,34777,71984,45,37619,34571,72190,46,36454,33634,70088,47,36474,34051,70525,48,38140,35489,73629,49,40175,37368,77543,50,38458,36025,74483,51,36500,34597,71097,52,34315,32928,67243,53,33501,32630,66131,54,33526,33075,66601,55,35157,35085,70242,56,35832,36003,71835,57,35876,36471,72347,58,36597,37323,73920,59,36336,37363,73699,60,35838,36780,72618,61,35280,36254,71534,62,35107,35924,71031,63,33735,34995,68730,64,32712,34275,66987,65,31568,33328,64896,66,30378,32299,62677,67,29302,31544,60846,68,28289,30257,58546,69,25815,27960,53775,70,24762,26990,51752,71,23861,25709,49570,72,23758,25431,49189,73,23543,25018,48561,74,15870,17715,33585,75,15399,17261,32660,76,14777,16691,31468,77,13898,16093,29991,78,11659,13855,25514,79,10197,12263,22460,80,9157,11260,20417,81,8438,10664,19102,82,7577,9620,17197,83,6622,8637,15259,84,5984,7977,13961,85,30149,51612,81761
9,CT,0,17660,16817,34477,1,18116,17233,35349,2,18719,17783,36502,3,18958,18280,37238,4,19338,18680,38018,5,19691,18936,38627,6,19802,18756,38558,7,19860,19149,39009,8,20288,19430,39718,9,20732,19947,40679,10,21494,20463,41957,11,22361,21310,43671,12,23118,22271,45389,13,23266,22618,45884,14,23386,22517,45903,15,23588,22727,46315,16,24141,23026,47167,17,24195,22953,47148,18,25789,25134,50923,19,26299,25692,51991,20,26426,25864,52290,21,25780,25066,50846,22,24270,22909,47179,23,23014,21445,44459,24,22789,21321,44110,25,22963,21476,44439,26,23466,21794,45260,27,23250,22088,45338,28,22626,21586,44212,29,22541,21357,43898,30,22388,21637,44025,31,22343,21871,44214,32,22660,22518,45178,33,22809,22660,45469,34,23160,23083,46243,35,22979,22588,45567,36,22759,22484,45243,37,22709,22855,45564,38,22460,22846,45306,39,22346,22715,45061,40,22043,22545,44588,41,21429,22062,43491,42,21210,21825,43035,43,20721,21432,42153,44,20455,21021,41476,45,20583,21109,41692,46,20204,21174,41378,47,20959,22117,43076,48,22858,23753,46611,49,24858,25750,50608,50,24566,25633,50199,51,24302,25307,49609,52,24140,25105,49245,53,24966,25959,50925,54,25773,26958,52731,55,26536,27969,54505,56,26923,28048,54971,57,26597,27630,54227,58,26659,27852,54511,59,26517,27727,54244,60,25999,27145,53144,61,25506,26525,52031,62,25179,26157,51336,63,23864,24989,48853,64,22703,24162,46865,65,21794,23189,44983,66,20602,21955,42557,67,19502,21133,40635,68,18347,20247,38594,69,16535,18834,35369,70,15966,18475,34441,71,15489,18064,33553,72,15753,18514,34267,73,16047,18714,34761,74,11410,13731,25141,75,11225,13464,24689,76,11202,13581,24783,77,11089,13682,24771,78,9088,11524,20612,79,7860,10143,18003,80,7010,9423,16433,81,6626,9006,15632,82,6078,8469,14547,83,5347,7704,13051,84,4967,7260,12227,85,28302,54665,82967
10,DE,0,5362,5120,10482,1,5451,5193,10644,2,5624,5289,10913,3,5727,5464,11191,4,5676,5698,11374,5,5679,5593,11272,6,5772,5485,11257,7,5733,5527,11260,8,6005,5617,11622,9,5982,5707,11689,10,6027,5813,11840,11,6192,5933,12125,12,6265,6133,12398,13,6173,6122,12295,14,6060,6045,12105,15,6008,6028,12036,16,6176,5967,12143,17,6187,5876,12063,18,6476,6478,12954,19,6396,6443,12839,20,6017,6068,12085,21,5723,5564,11287,22,5713,5511,11224,23,5678,5477,11155,24,5727,5634,11361,25,5981,5889,11870,26,6230,6043,12273,27,6287,6238,12525,28,6502,6475,12977,29,6773,6823,13596,30,6827,6930,13757,31,6703,6881,13584,32,6441,6562,13003,33,6256,6335,12591,34,6185,6338,12523,35,6229,6171,12400,36,6177,6106,12283,37,6255,6112,12367,38,5976,6112,12088,39,5907,6150,12057,40,5836,6024,11860,41,5735,5920,11655,42,5473,5841,11314,43,5201,5543,10744,44,5088,5398,10486,45,5186,5428,10614,46,5095,5388,10483,47,5379,5582,10961,48,5687,5981,11668,49,6163,6546,12709,50,6049,6442,12491,51,5858,6225,12083,52,5794,6369,12163,53,6124,6650,12774,54,6363,6845,13208,55,6587,7177,13764,56,6814,7270,14084,57,6802,7441,14243,58,6828,7498,14326,59,6784,7533,14317,60,6666,7395,14061,61,6703,7455,14158,62,6853,7664,14517,63,6598,7466,14064,64,6483,7405,13888,65,6356,7227,13583,66,6217,7052,13269,67,5980,6975,12955,68,5703,6818,12521,69,5359,6268,11627,70,5331,6039,11370,71,5199,6016,11215,72,5335,6097,11432,73,5387,6023,11410,74,3634,4317,7951,75,3633,4209,7842,76,3550,4176,7726,77,3490,4107,7597,78,2906,3470,6376,79,2482,3054,5536,80,2178,2755,4933,81,2041,2547,4588,82,1899,2360,4259,83,1588,2067,3655,84,1439,1895,3334,85,6915,11711,18626
11,DC,0,4531,4355,8886,1,4397,4201,8598,2,4381,4161,8542,3,4397,4078,8475,4,4353,4055,8408,5,4027,4130,8157,6,3932,3685,7617,7,3993,3684,7677,8,3809,3653,7462,9,3583,3431,7014,10,3277,3301,6578,11,3134,3187,6321,12,3044,3142,6186,13,2944,2965,5909,14,2761,2677,5438,15,2554,2603,5157,16,2554,2546,5100,17,2552,2567,5119,18,3818,4854,8672,19,5448,6404,11852,20,4727,5435,10162,21,3924,4600,8524,22,3561,4231,7792,23,4325,5795,10120,24,5291,7093,12384,25,6118,7872,13990,26,6706,8371,15077,27,7078,8385,15463,28,7492,8792,16284,29,7903,8916,16819,30,8324,8582,16906,31,7962,8695,16657,32,7740,8572,16312,33,7467,7971,15438,34,7196,7654,14850,35,6934,7211,14145,36,6537,6935,13472,37,6284,6548,12832,38,5928,6194,12122,39,5594,5741,11335,40,5399,5337,10736,41,5034,4975,10009,42,4561,4584,9145,43,4184,4221,8405,44,3858,3928,7786,45,3839,3801,7640,46,3652,3636,7288,47,3748,3685,7433,48,3865,3714,7579,49,4015,3837,7852,50,3771,3657,7428,51,3622,3481,7103,52,3425,3452,6877,53,3358,3384,6742,54,3490,3398,6888,55,3668,3621,7289,56,3639,3591,7230,57,3620,3637,7257,58,3481,3626,7107,59,3529,3574,7103,60,3365,3512,6877,61,3166,3442,6608,62,3090,3447,6537,63,2925,3389,6314,64,2870,3312,6182,65,2728,3284,6012,66,2616,3271,5887,67,2432,3088,5520,68,2304,2984,5288,69,2177,2891,5068,70,2094,2815,4909,71,2061,2653,4714,72,1932,2613,4545,73,1886,2461,4347,74,1361,1923,3284,75,1388,1882,3270,76,1305,1838,3143,77,1208,1803,3011,78,1134,1570,2704,79,966,1391,2357,80,861,1385,2246,81,820,1228,2048,82,766,1150,1916,83,661,1060,1721,84,579,970,1549,85,3610,7129,10739
12,FL,0,110772,106048,216820,1,112266,107613,219879,2,114713,110236,224949,3,117076,112086,229162,4,119734,114461,234195,5,119520,114446,233966,6,119458,113911,233369,7,118843,113307,232150,8,120130,114663,234793,9,120846,115346,236192,10,123038,117644,240682,11,126888,120784,247672,12,131458,125581,257039,13,131046,125794,256840,14,128114,123401,251515,15,126762,120932,247694,16,126145,121084,247229,17,124175,118269,242444,18,125685,117695,243380,19,123464,117638,241102,20,123893,119914,243807,21,124675,120752,245427,22,125024,121741,246765,23,127278,123400,250678,24,129107,124872,253979,25,131325,126891,258216,26,135074,129674,264748,27,137446,133229,270675,28,141254,138125,279379,29,145908,143410,289318,30,146586,144218,290804,31,143432,140416,283848,32,141284,137150,278434,33,139810,134790,274600,34,139989,135090,275079,35,138222,134810,273032,36,136411,134428,270839,37,138107,136599,274706,38,136356,135376,271732,39,136045,134948,270993,40,134109,133003,267112,41,129506,129826,259332,42,129411,130446,259857,43,127096,128729,255825,44,125464,127090,252554,45,126247,128032,254279,46,125404,127884,253288,47,130488,131991,262479,48,137598,138956,276554,49,144653,145514,290167,50,139328,140222,279550,51,134658,135964,270622,52,133322,135542,268864,53,135913,139912,275825,54,139197,143746,282943,55,145602,152208,297810,56,148322,154913,303235,57,147517,154762,302279,58,147788,156008,303796,59,145564,155161,300725,60,141961,152268,294229,61,138524,151695,290219,62,138026,152201,290227,63,134270,149312,283582,64,130660,147395,278055,65,128176,145997,274173,66,124739,143795,268534,67,121903,141018,262921,68,120255,139075,259330,69,114459,132823,247282,70,113291,130977,244268,71,112861,130448,243309,72,117086,133229,250315,73,121103,134938,256041,74,86812,101208,188020,75,86087,99815,185902,76,86024,100260,186284,77,85565,99789,185354,78,73110,85794,158904,79,65377,77499,142876,80,59230,71512,130742,81,55766,67392,123158,82,50748,62205,112953,83,45000,55910,100910,84,40998,51359,92357,85,214842,318173,533015
13,GA,0,63345,60729,124074,1,64104,61348,125452,2,66175,63153,129328,3,67428,64946,132374,4,68644,66504,135148,5,69325,67362,136687,6,69133,66333,135466,7,69061,67099,136160,8,70674,68318,138992,9,71761,68656,140417,10,73772,70787,144559,11,76622,73063,149685,12,79484,76071,155555,13,79206,76012,155218,14,77391,74545,151936,15,75955,73538,149493,16,76374,74103,150477,17,75182,72918,148100,18,75555,72831,148386,19,76911,74129,151040,20,75367,71334,146701,21,73064,70676,143740,22,71940,70003,141943,23,71141,70201,141342,24,71346,70526,141872,25,72205,71843,144048,26,73604,73819,147423,27,75430,75260,150690,28,75960,76958,152918,29,76409,78127,154536,30,75233,77821,153054,31,73141,75932,149073,32,71600,73850,145450,33,70333,72793,143126,34,70698,73098,143796,35,70248,73054,143302,36,69341,72616,141957,37,70541,74290,144831,38,70208,73920,144128,39,70588,74593,145181,40,69980,74030,144010,41,67320,71879,139199,42,66694,71133,137827,43,65411,69499,134910,44,64508,68520,133028,45,65273,69916,135189,46,65271,69484,134755,47,67852,71715,139567,48,71950,74977,146927,49,75876,78165,154041,50,72358,74020,146378,51,68816,70774,139590,52,67131,68869,136000,53,67576,69791,137367,54,68293,71032,139325,55,69976,73379,143355,56,69946,73001,142947,57,68309,72307,140616,58,67775,71964,139739,59,66152,70374,136526,60,63954,68339,132293,61,62070,66971,129041,62,60594,66037,126631,63,58544,64495,123039,64,55832,62484,118316,65,53369,60513,113882,66,50526,58147,108673,67,48227,56270,104497,68,46154,54708,100862,69,42838,51591,94429,70,42026,50351,92377,71,41165,49132,90297,72,41228,49049,90277,73,40790,47859,88649,74,28417,35073,63490,75,27899,34303,62202,76,26888,33342,60230,77,25944,32277,58221,78,21441,27654,49095,79,19153,24738,43891,80,16969,22826,39795,81,15307,21017,36324,82,13488,18865,32353,83,11716,16595,28311,84,10417,15679,26096,85,47942,91741,139683
