id,state,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total,age,male,female,total
15,HI,0,8562,8152,16714,1,8660,8306,16966,2,8996,8420,17416,3,9300,8481,17781,4,9415,8719,18134,5,9339,8723,18062,6,9474,8707,18181,7,9559,8934,18493,8,9243,8852,18095,9,9248,8622,17870,10,8757,8340,17097,11,8704,8403,17107,12,8986,8436,17422,13,8686,8096,16782,14,8302,7972,16274,15,8305,7946,16251,16,8446,7911,16357,17,8301,7590,15891,18,7810,7370,15180,19,8333,7309,15642,20,9355,7499,16854,21,9978,7880,17858,22,9991,7990,17981,23,9811,8335,18146,24,10039,8599,18638,25,10265,8945,19210,26,10554,9230,19784,27,10472,9487,19959,28,10661,9776,20437,29,10952,9948,20900,30,10711,10005,20716,31,10356,9826,20182,32,10274,9745,20019,33,10421,9789,20210,34,10348,9714,20062,35,10296,9676,19972,36,10339,9763,20102,37,10342,9977,20319,38,10257,9776,20033,39,10141,9688,19829,40,10032,9518,19550,41,9477,8991,18468,42,9133,8712,17845,43,8788,8504,17292,44,8485,8385,16870,45,8486,8267,16753,46,8310,8294,16604,47,8543,8181,16724,48,8832,8511,17343,49,9389,9015,18404,50,9308,9012,18320,51,8737,8698,17435,52,8409,8536,16945,53,8570,8468,17038,54,8726,8710,17436,55,9073,9113,18186,56,9120,9272,18392,57,9353,9338,18691,58,9391,9217,18608,59,9372,9392,18764,60,9473,9459,18932,61,9225,9327,18552,62,9124,9394,18518,63,9013,9304,18317,64,8830,9339,18169,65,8813,9156,17969,66,8577,8986,17563,67,8582,9043,17625,68,8105,8523,16628,69,7696,8253,15949,70,7841,8316,16157,71,7490,7949,15439,72,7331,7751,15082,73,7165,7518,14683,74,5384,5927,11311,75,5333,5973,11306,76,4983,5571,10554,77,4471,5010,9481,78,3859,4429,8288,79,3471,4098,7569,80,3087,3834,6921,81,2764,3486,6250,82,2528,3350,5878,83,2240,3056,5296,84,1991,2972,4963,85,14125,25152,39277
16,ID,0,11064,10517,21581,1,11287,10628,21915,2,11682,11018,22700,3,12269,11648,23917,4,12640,12139,24779,5,12876,12278,25154,6,12731,12080,24811,7,12778,12365,25143,8,12849,12290,25139,9,13160,12605,25765,10,13735,13098,26833,11,14179,13483,27662,12,14752,13850,28602,13,14693,13821,28514,14,14192,13506,27698,15,14140,13423,27563,16,14116,13368,27484,17,13619,12912,26531,18,12896,12143,25039,19,11875,12097,23972,20,11472,11367,22839,21,12353,11106,23459,22,12904,11286,24190,23,12777,11555,24332,24,12628,11559,24187,25,12446,11286,23732,26,12526,11501,24027,27,12535,11619,24154,28,12484,11859,24343,29,12439,12177,24616,30,12156,12224,24380,31,11823,11827,23650,32,11616,11724,23340,33,11906,11610,23516,34,12210,11737,23947,35,12263,11927,24190,36,12364,11898,24262,37,12461,12155,24616,38,12525,12165,24690,39,12607,12133,24740,40,12434,11883,24317,41,12091,11673,23764,42,11887,11376,23263,43,11393,10926,22319,44,11053,10530,21583,45,10950,10469,21419,46,10594,9974,20568,47,10501,9916,20417,48,11039,10414,21453,49,11521,10854,22375,50,10888,10507,21395,51,10623,10226,20849,52,10251,9746,19997,53,10325,9971,20296,54,10220,10040,20260,55,10426,10546,20972,56,10821,11059,21880,57,11014,11437,22451,58,11532,11760,23292,59,11497,11721,23218,60,11332,11369,22701,61,11083,11468,22551,62,11146,11735,22881,63,11050,11517,22567,64,10843,11284,22127,65,10605,10982,21587,66,10426,10838,21264,67,10291,10615,20906,68,9948,10297,20245,69,9013,9467,18480,70,8778,9114,17892,71,8573,8848,17421,72,8692,8779,17471,73,8731,8640,17371,74,5912,6207,12119,75,5868,6218,12086,76,5678,6234,11912,77,5546,5931,11477,78,4659,5044,9703,79,4059,4556,8615,80,3688,4137,7825,81,3473,3808,7281,82,2975,3386,6361,83,2529,3002,5531,84,2281,2741,5022,85,10939,16671,27610
17,IL,0,72268,69229,141497,1,73251,70067,143318,2,75551,72560,148111,3,77467,74118,151585,4,79489,75830,155319,5,79716,76089,155805,6,78497,74556,153053,7,78433,75395,153828,8,79504,76098,155602,9,81340,76611,157951,10,83470,79268,162738,11,85142,81683,166825,12,87771,84451,172222,13,87783,84673,172456,14,86730,83091,169821,15,87114,82637,169751,16,88383,84352,172735,17,87157,83258,170415,18,85580,80573,166153,19,84537,81280,165817,20,83961,81464,165425,21,83002,80394,163396,22,82538,80519,163057,23,83090,81457,164547,24,84220,82794,167014,25,85940,84510,170450,26,87736,86126,173862,27,88846,87638,176484,28,89422,89203,178625,29,90472,89081,179553,30,89643,87699,177342,31,87782,85707,173489,32,87192,85536,172728,33,87034,85049,172083,34,88576,85974,174550,35,88141,85944,174085,36,86971,85170,172141,37,87832,86541,174373,38,87578,85865,173443,39,87540,85859,173399,40,86433,85277,171710,41,82817,81993,164810,42,82270,80845,163115,43,80046,78941,158987,44,78401,77163,155564,45,78211,77621,155832,46,76626,76522,153148,47,78137,78093,156230,48,82763,82322,165085,49,87148,86546,173694,50,83528,83235,166763,51,81045,80797,161842,52,79498,79513,159011,53,80305,80728,161033,54,81634,82008,163642,55,84304,85624,169928,56,85445,86538,171983,57,85460,87141,172601,58,86103,88216,174319,59,85917,88259,174176,60,84143,87042,171185,61,82567,85913,168480,62,81699,85397,167096,63,77978,82097,160075,64,74709,80077,154786,65,72323,77933,150256,66,68110,73913,142023,67,65149,71434,136583,68,62414,69095,131509,69,57429,64923,122352,70,55016,62626,117642,71,52502,60555,113057,72,52335,60285,112620,73,51534,59522,111056,74,35860,43333,79193,75,35083,42520,77603,76,34562,42716,77278,77,33959,42959,76918,78,28962,37447,66409,79,25368,33602,58970,80,22735,31000,53735,81,21418,29800,51218,82,19697,27736,47433,83,17308,25087,42395,84,15824,23578,39402,85,83474,161239,244713
18,IN,0,41064,39186,80250,1,41627,39813,81440,2,42867,40732,83599,3,43464,40957,84421,4,44515,42065,86580,5,44778,42517,87295,6,44605,42041,86646,7,44585,42524,87109,8,44757,42385,87142,9,44750,42756,87506,10,46211,43915,90126,11,47298,45286,92584,12,48707,46731,95438,13,48542,46489,95031,14,47856,45256,93112,15,47485,44873,92358,16,48111,45707,93818,17,47343,44956,92299,18,45768,42823,88591,19,50533,48073,98606,20,50674,48428,99102,21,49072,48049,97121,22,48142,45874,94016,23,46056,44063,90119,24,45287,43498,88785,25,45141,43664,88805,26,45643,43853,89496,27,46169,44892,91061,28,46720,46130,92850,29,46085,46112,92197,30,45040,44667,89707,31,43908,43275,87183,32,42997,42471,85468,33,42511,42312,84823,34,43174,42893,86067,35,43067,42640,85707,36,42904,42283,85187,37,43869,43471,87340,38,43988,43237,87225,39,44097,43675,87772,40,43676,43375,87051,41,42424,41936,84360,42,42034,41187,83221,43,40532,40058,80590,44,39505,39437,78942,45,40076,39679,79755,46,39263,38910,78173,47,40568,40122,80690,48,43238,42227,85465,49,45844,44583,90427,50,43208,42241,85449,51,41649,40622,82271,52,40442,39982,80424,53,41132,41240,82372,54,41810,42014,83824,55,44048,44389,88437,56,45111,45281,90392,57,44318,45378,89696,58,45075,46313,91388,59,44922,46242,91164,60,44121,45151,89272,61,43373,45039,88412,62,43414,44979,88393,63,41707,43356,85063,64,39950,42308,82258,65,38805,41066,79871,66,36973,39703,76676,67,35302,38407,73709,68,34098,37266,71364,69,30930,34465,65395,70,29937,33391,63328,71,28898,32603,61501,72,28234,32201,60435,73,27929,31842,59771,74,19106,22605,41711,75,18963,22495,41458,76,18489,22584,41073,77,18236,22484,40720,78,15406,19539,34945,79,13708,17636,31344,80,12152,16157,28309,81,11398,15539,26937,82,10275,14406,24681,83,8825,12909,21734,84,7977,12066,20043,85,40508,78544,119052
19,IA,0,18994,18081,37075,1,19321,18402,37723,2,19856,19101,38957,3,20231,19538,39769,4,20724,19894,40618,5,21090,19864,40954,6,20696,19911,40607,7,20573,19836,40409,8,20519,19518,40037,9,20649,19491,40140,10,21740,20576,42316,11,22498,21174,43672,12,22942,21876,44818,13,22929,21749,44678,14,22228,21149,43377,15,21902,20711,42613,16,22047,20840,42887,17,21661,20587,42248,18,21884,20836,42720,19,24716,23421,48137,20,24272,23393,47665,21,23860,23362,47222,22,23695,22408,46103,23,22135,20460,42595,24,21354,19534,40888,25,20924,19432,40356,26,21070,19409,40479,27,20990,19671,40661,28,21009,20041,41050,29,20613,19701,40314,30,20180,19441,39621,31,19561,18828,38389,32,19282,18470,37752,33,19523,18808,38331,34,20465,19558,40023,35,20917,19865,40782,36,20987,19791,40778,37,21471,20200,41671,38,21535,20370,41905,39,21215,20242,41457,40,21099,20032,41131,41,20296,19107,39403,42,19611,18611,38222,43,18817,17784,36601,44,18175,17270,35445,45,18194,17292,35486,46,17270,16551,33821,47,17525,16775,34300,48,18744,18008,36752,49,20029,19205,39234,50,19496,18444,37940,51,18988,18166,37154,52,18412,17731,36143,53,18893,18350,37243,54,19209,18697,37906,55,20087,19847,39934,56,20785,20562,41347,57,21058,21064,42122,58,21626,21970,43596,59,21867,21909,43776,60,21704,21552,43256,61,21225,21353,42578,62,21104,21174,42278,63,20401,20513,40914,64,19890,20102,39992,65,19547,19673,39220,66,18624,18985,37609,67,18044,18455,36499,68,17622,18167,35789,69,15923,16815,32738,70,15218,15959,31177,71,14367,15482,29849,72,14080,15453,29533,73,14063,15166,29229,74,9563,10761,20324,75,9361,10698,20059,76,9313,10821,20134,77,9099,10801,19900,78,7804,9456,17260,79,7125,8807,15932,80,6480,8336,14816,81,6100,8096,14196,82,5550,7531,13081,83,5024,6943,11967,84,4688,6674,11362,85,24286,47038,71324
20,KS,0,18102,17260,35362,1,18328,17548,35876,2,19029,17795,36824,3,19456,18252,37708,4,19758,18930,38688,5,19713,19116,38829,6,19943,19071,39014,7,20044,19204,39248,8,20229,19155,39384,9,20425,19504,39929,10,21131,20080,41211,11,21465,20365,41830,12,21914,20838,42752,13,21740,20687,42427,14,21228,20192,41420,15,20967,19816,40783,16,21332,20002,41334,17,21083,19743,40826,18,20560,19073,39633,19,22403,20332,42735,20,23142,21197,44339,21,22405,20834,43239,22,21858,20365,42223,23,21548,19715,41263,24,20489,18921,39410,25,20251,18838,39089,26,20099,18337,38436,27,20209,18495,38704,28,20034,18753,38787,29,19238,18486,37724,30,19124,18103,37227,31,19102,17936,37038,32,18795,18042,36837,33,19041,18371,37412,34,19484,18962,38446,35,19771,19173,38944,36,19584,19202,38786,37,19807,19481,39288,38,19914,19167,39081,39,19893,18896,38789,40,19446,18428,37874,41,18411,17601,36012,42,17933,17221,35154,43,17319,16841,34160,44,16850,16182,33032,45,16717,16125,32842,46,16056,15539,31595,47,16102,15682,31784,48,17149,16530,33679,49,18035,17497,35532,50,17291,16902,34193,51,16676,16361,33037,52,16189,15700,31889,53,16505,16174,32679,54,16929,16737,33666,55,17898,17896,35794,56,18579,18562,37141,57,18684,19188,37872,58,19238,19645,38883,59,19088,19754,38842,60,18713,19399,38112,61,18601,19223,37824,62,18429,19100,37529,63,18010,18638,36648,64,17538,18035,35573,65,17133,17506,34639,66,16142,17110,33252,67,15494,16376,31870,68,14915,15948,30863,69,13721,14599,28320,70,13115,13939,27054,71,12464,13474,25938,72,12301,13486,25787,73,12263,13315,25578,74,8364,9409,17773,75,8324,9501,17825,76,8163,9648,17811,77,7806,9399,17205,78,6544,8161,14705,79,5884,7534,13418,80,5379,6882,12261,81,5091,6571,11662,82,4647,6305,10952,83,4142,5669,9811,84,3846,5417,9263,85,21148,38524,59672
21,KY,0,26936,25645,52581,1,27408,25996,53404,2,28017,26416,54433,3,28045,26818,54863,4,28628,27214,55842,5,28811,27256,56067,6,28723,27198,55921,7,28889,27105,55994,8,28660,26908,55568,9,28852,26733,55585,10,29352,27662,57014,11,30115,28964,59079,12,30920,29670,60590,13,31079,29511,60590,14,30245,28714,58959,15,29971,28664,58635,16,30219,28870,59089,17,29985,28339,58324,18,29544,27979,57523,19,30493,28623,59116,20,30988,28672,59660,21,30607,28894,59501,22,30314,29035,59349,23,30497,28751,59248,24,30294,28445,58739,25,30562,28390,58952,26,30328,28447,58775,27,30683,28940,59623,28,31215,30102,61317,29,31500,30974,62474,30,30483,30507,60990,31,29051,28945,57996,32,28206,27554,55760,33,27836,27073,54909,34,27844,27200,55044,35,27794,27350,55144,36,27737,27719,55456,37,28566,28551,57117,38,28566,28490,57056,39,29139,28986,58125,40,28919,28757,57676,41,28315,28002,56317,42,28152,27843,55995,43,27393,27188,54581,44,26774,26553,53327,45,26948,26749,53697,46,26645,26465,53110,47,27473,27256,54729,48,29473,29076,58549,49,30947,30351,61298,50,28943,28897,57840,51,28230,28364,56594,52,27680,27974,55654,53,28376,28411,56787,54,28892,29123,58015,55,30274,31209,61483,56,30742,31762,62504,57,30401,31602,62003,58,30445,32162,62607,59,30131,31483,61614,60,29759,31002,60761,61,29341,31059,60400,62,29054,31098,60152,63,28019,29978,57997,64,27062,29255,56317,65,26509,28643,55152,66,25367,27605,52972,67,24121,26724,50845,68,23602,26200,49802,69,21746,24260,46006,70,21086,23632,44718,71,20697,23160,43857,72,20368,23087,43455,73,20207,22968,43175,74,13617,16163,29780,75,13417,16023,29440,76,13138,15980,29118,77,12627,15607,28234,78,10706,13517,24223,79,9535,12388,21923,80,8567,11453,20020,81,7994,10856,18850,82,7210,9812,17022,83,5976,8499,14475,84,5444,7981,13425,85,25616,49309,74925
22,LA,0,29052,27901,56953,1,29361,28236,57597,2,30372,29062,59434,3,30894,29660,60554,4,31409,30455,61864,5,31181,30381,61562,6,31208,29832,61040,7,30571,29260,59831,8,30517,29169,59686,9,30760,29258,60018,10,31229,30206,61435,11,32595,31090,63685,12,33414,32188,65602,13,33162,31767,64929,14,31848,30564,62412,15,31342,30005,61347,16,31332,29922,61254,17,30968,29587,60555,18,29826,28272,58098,19,29194,28172,57366,20,30077,29154,59231,21,30557,29532,60089,22,30429,30060,60489,23,30632,29917,60549,24,30331,29521,59852,25,30673,29964,60637,26,31320,30881,62201,27,32007,31624,63631,28,32853,33058,65911,29,33585,34449,68034,30,32823,34094,66917,31,32232,33043,65275,32,31709,31917,63626,33,31509,31789,63298,34,31984,32370,64354,35,31617,32408,64025,36,31681,32136,63817,37,31935,32587,64522,38,31532,32170,63702,39,31363,31860,63223,40,30329,30764,61093,41,29144,29316,58460,42,28154,28746,56900,43,27252,27929,55181,44,25978,26733,52711,45,25705,26088,51793,46,25438,25681,51119,47,26096,26455,52551,48,27398,27903,55301,49,28273,29477,57750,50,27274,28379,55653,51,27146,27915,55061,52,26742,27732,54474,53,27245,28554,55799,54,27885,29361,57246,55,29299,31004,60303,56,29991,31486,61477,57,29902,31765,61667,58,30154,32339,62493,59,29962,32171,62133,60,29908,32003,61911,61,29606,31457,61063,62,28905,31258,60163,63,28186,30659,58845,64,27638,30072,57710,65,26671,29338,56009,66,25209,27926,53135,67,24034,26639,50673,68,23061,25928,48989,69,21267,24531,45798,70,20272,23603,43875,71,19631,22560,42191,72,19496,22434,41930,73,19261,22168,41429,74,13228,16044,29272,75,13041,16024,29065,76,12582,15659,28241,77,12139,15246,27385,78,10258,13321,23579,79,9114,12175,21289,80,8336,11213,19549,81,7573,10582,18155,82,6906,9781,16687,83,5963,8592,14555,84,5339,8067,13406,85,26176,48907,75083
23,ME,0,6390,5962,12352,1,6494,6122,12616,2,6318,6240,12558,3,6691,6317,13008,4,6876,6493,13369,5,6952,6533,13485,6,6972,6580,13552,7,6967,6628,13595,8,6938,6657,13595,9,7030,6730,13760,10,7538,6996,14534,11,7640,7251,14891,12,7909,7530,15439,13,7924,7586,15510,14,7945,7463,15408,15,7961,7483,15444,16,8255,7599,15854,17,8155,7639,15794,18,8307,7820,16127,19,8406,7783,16189,20,7990,7453,15443,21,7686,7257,14943,22,7542,7197,14739,23,7344,7166,14510,24,7484,7329,14813,25,7636,7513,15149,26,7983,7718,15701,27,8134,7950,16084,28,8264,8090,16354,29,8434,8247,16681,30,8286,8407,16693,31,8379,8434,16813,32,8371,8326,16697,33,8298,8300,16598,34,8410,8468,16878,35,8234,8214,16448,36,8177,8051,16228,37,8113,8330,16443,38,8116,8269,16385,39,8196,8194,16390,40,8075,8153,16228,41,7805,7989,15794,42,7783,7886,15669,43,7544,7555,15099,44,7373,7540,14913,45,7572,7737,15309,46,7642,7721,15363,47,7922,8150,16072,48,8668,8853,17521,49,9428,9339,18767,50,9054,9122,18176,51,8959,9072,18031,52,8895,9177,18072,53,9242,9578,18820,54,9410,9752,19162,55,9832,10297,20129,56,10467,10651,21118,57,10590,10976,21566,58,10967,11226,22193,59,10737,11274,22011,60,10494,11121,21615,61,10636,11309,21945,62,10733,11414,22147,63,10495,10941,21436,64,10059,10770,20829,65,9954,10427,20381,66,9783,10405,20188,67,9484,10095,19579,68,9099,9861,18960,69,8337,9108,17445,70,8167,8835,17002,71,8102,8690,16792,72,8232,8691,16923,73,8099,8423,16522,74,5390,5802,11192,75,5326,5807,11133,76,5274,5998,11272,77,5093,5784,10877,78,4252,4889,9141,79,3649,4367,8016,80,3219,3979,7198,81,3006,3869,6875,82,2667,3610,6277,83,2379,3213,5592,84,2219,2988,5207,85,11012,19720,30732
24,MD,0,36013,34608,70621,1,36552,35126,71678,2,37432,35800,73232,3,37793,36341,74134,4,38298,37156,75454,5,38634,37065,75699,6,38362,36413,74775,7,38277,36787,75064,8,38907,37183,76090,9,39546,37425,76971,10,40142,38149,78291,11,40640,38955,79595,12,42165,40041,82206,13,41874,39429,81303,14,40348,38857,79205,15,39760,38722,78482,16,40206,38837,79043,17,39733,38362,78095,18,40699,39523,80222,19,39632,37962,77594,20,38930,37168,76098,21,37867,36665,74532,22,36806,36053,72859,23,36523,36903,73426,24,37552,37312,74864,25,38778,38393,77171,26,39669,39679,79348,27,40810,40582,81392,28,40831,41189,82020,29,42075,42448,84523,30,43045,42859,85904,31,42064,42926,84990,32,42046,43516,85562,33,42161,43553,85714,34,42459,43500,85959,35,41947,43228,85175,36,41722,42977,84699,37,41967,43435,85402,38,41709,42908,84617,39,41629,43145,84774,40,40728,41991,82719,41,39138,40188,79326,42,38416,39433,77849,43,37175,38642,75817,44,36146,37846,73992,45,36161,37632,73793,46,35300,37193,72493,47,36651,38674,75325,48,39101,41353,80454,49,41934,44052,85986,50,40878,42849,83727,51,39974,42515,82489,52,39630,42315,81945,53,40392,43069,83461,54,41316,44168,85484,55,43035,45864,88899,56,43663,46258,89921,57,42866,45770,88636,58,42571,45667,88238,59,41942,44925,86867,60,40918,43902,84820,61,40053,43200,83253,62,39121,41956,81077,63,36836,40327,77163,64,35019,38930,73949,65,33621,37728,71349,66,31385,36018,67403,67,30138,34993,65131,68,28684,33428,62112,69,26543,31594,58137,70,25481,30468,55949,71,24905,29873,54778,72,24957,30013,54970,73,24814,29459,54273,74,17315,21505,38820,75,16931,21381,38312,76,16393,20946,37339,77,16208,20655,36863,78,13783,17865,31648,79,11998,15942,27940,80,10713,14573,25286,81,9878,13762,23640,82,8951,12712,21663,83,7720,11259,18979,84,7099,10444,17543,85,38205,72418,110623
25,MA,0,35716,33970,69686,1,35916,34234,70150,2,36787,35003,71790,3,37267,35595,72862,4,37706,35934,73640,5,37976,36377,74353,6,37749,36459,74208,7,38190,36742,74932,8,38650,36956,75606,9,39240,37282,76522,10,39974,37674,77648,11,41028,38577,79605,12,42264,39962,82226,13,42100,40291,82391,14,41675,40124,81799,15,42339,40379,82718,16,43777,41582,85359,17,43709,42075,85784,18,49369,51230,100599,19,53755,56629,110384,20,51473,52752,104225,21,48501,50998,99499,22,46669,48056,94725,23,45843,46053,91896,24,47599,47633,95232,25,49019,48711,97730,26,50217,49657,99874,27,50913,49998,100911,28,50622,49736,100358,29,50886,49750,100636,30,51470,50474,101944,31,50693,50736,101429,32,50307,50674,100981,33,49867,50092,99959,34,49241,49553,98794,35,47757,48244,96001,36,46496,46868,93364,37,46727,46528,93255,38,45477,45743,91220,39,44627,44939,89566,40,43390,44332,87722,41,42373,43303,85676,42,41631,42572,84203,43,40303,41346,81649,44,39922,41003,80925,45,40263,41433,81696,46,39944,41266,81210,47,41048,42630,83678,48,43493,45455,88948,49,46849,48731,95580,50,45989,47776,93765,51,45656,47424,93080,52,45584,47333,92917,53,46581,48759,95340,54,47839,49493,97332,55,49421,51377,100798,56,49843,51834,101677,57,49407,51294,100701,58,49562,51450,101012,59,48857,50873,99730,60,47701,49806,97507,61,46967,49272,96239,62,46242,48938,95180,63,43813,47008,90821,64,41904,45759,87663,65,40574,44405,84979,66,38539,42377,80916,67,36846,41138,77984,68,35303,39516,74819,69,32375,36952,69327,70,31230,36013,67243,71,30353,35498,65851,72,30396,35629,66025,73,30562,35209,65771,74,20912,25460,46372,75,20543,25051,45594,76,19993,24838,44831,77,19724,24647,44371,78,16242,20930,37172,79,14117,18693,32810,80,12530,17322,29852,81,11719,16718,28437,82,10797,15508,26305,83,9697,14345,24042,84,8831,13528,22359,85,49260,96687,145947
26,MI,0,55392,52931,108323,1,56181,53720,109901,2,57592,55216,112808,3,59119,56353,115472,4,60315,57255,117570,5,60556,57744,118300,6,60599,57397,117996,7,60135,57422,117557,8,60852,57422,118274,9,61502,57753,119255,10,63008,59859,122867,11,64403,61337,125740,12,66495,63034,129529,13,66937,63415,130352,14,65941,62784,128725,15,66272,62817,129089,16,67400,64542,131942,17,66823,63712,130535,18,68045,65187,133232,19,66831,64190,131021,20,67778,66083,133861,21,69145,67393,136538,22,68963,66817,135780,23,68271,66060,134331,24,67804,64383,132187,25,67990,64544,132534,26,68408,65072,133480,27,68942,65870,134812,28,70026,67712,137738,29,71451,69501,140952,30,68975,67417,136392,31,64808,63182,127990,32,62580,61175,123755,33,61246,59749,120995,34,62139,60679,122818,35,61520,60287,121807,36,61030,59707,120737,37,61898,61100,122998,38,61878,60986,122864,39,61874,61341,123215,40,60911,60811,121722,41,59386,59737,119123,42,58728,58784,117512,43,56865,56934,113799,44,55753,56279,112032,45,56250,57051,113301,46,56402,57154,113556,47,58666,59320,117986,48,63604,63661,127265,49,68406,68242,136648,50,65937,65775,131712,51,64403,64045,128448,52,63605,63513,127118,53,64886,65412,130298,54,65958,66365,132323,55,68587,69718,138305,56,70889,71515,142404,57,70969,72050,143019,58,72189,73322,145511,59,71231,73467,144698,60,70273,72360,142633,61,70554,72642,143196,62,70570,73479,144049,63,67923,71415,139338,64,65290,69181,134471,65,62958,67264,130222,66,60460,64876,125336,67,58170,62781,120951,68,56632,61201,117833,69,51358,56728,108086,70,49097,54395,103492,71,47332,52994,100326,72,46853,52723,99576,73,46537,51867,98404,74,31761,36696,68457,75,31308,36323,67631,76,31169,36764,67933,77,30955,36971,67926,78,26120,31815,57935,79,22469,27964,50433,80,19996,25433,45429,81,18739,24211,42950,82,16682,22504,39186,83,14467,20293,34760,84,13336,19097,32433,85,67860,125433,193293
27,MN,0,34020,32543,66563,1,34523,33065,67588,2,35597,33798,69395,3,36727,35101,71828,4,37321,35825,73146,5,37512,36192,73704,6,37569,35897,73466,7,37411,35747,73158,8,37576,35406,72982,9,37613,35573,73186,10,38861,36739,75600,11,39615,37635,77250,12,40455,38833,79288,13,40146,38620,78766,14,39282,37681,76963,15,38868,37577,76445,16,39447,37793,77240,17,38513,36440,74953,18,36601,34882,71483,19,36523,35621,72144,20,35912,35242,71154,21,35555,35069,70624,22,35351,35172,70523,23,35098,34784,69882,24,35941,34859,70800,25,36685,35568,72253,26,37916,36178,74094,27,38375,36893,75268,28,38624,37108,75732,29,38566,36488,75054,30,38837,36679,75516,31,38802,37059,75861,32,39245,37373,76618,33,39797,38073,77870,34,40431,39045,79476,35,40597,39208,79805,36,40388,38896,79284,37,41143,39307,80450,38,40951,39248,80199,39,40597,38801,79398,40,39419,37277,76696,41,37679,35501,73180,42,36072,34411,70483,43,34366,32702,67068,44,33354,31737,65091,45,32979,31556,64535,46,31850,30367,62217,47,32236,30841,63077,48,34313,33030,67343,49,37178,35495,72673,50,36114,34582,70696,51,35156,33897,69053,52,34339,33125,67464,53,34883,34067,68950,54,35816,35336,71152,55,37822,37224,75046,56,39232,38278,77510,57,39617,39232,78849,58,40399,40090,80489,59,40331,39942,80273,60,39670,39172,78842,61,38476,38777,77253,62,37729,38373,76102,63,36451,36468,72919,64,35055,35050,70105,65,33694,34101,67795,66,32233,32945,65178,67,30934,31996,62930,68,29896,31201,61097,69,27150,28532,55682,70,25875,27272,53147,71,24381,26164,50545,72,23848,25954,49802,73,23555,25529,49084,74,16196,18273,34469,75,16257,18218,34475,76,16045,18202,34247,77,15702,18230,33932,78,13265,15825,29090,79,11861,14472,26333,80,10748,13352,24100,81,10171,12772,22943,82,9140,11794,20934,83,8131,10993,19124,84,7506,10237,17743,85,39916,71853,111769
