table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Delaware: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,989948,481329,508619,991886,482209,509677,1003384,487336,516048
.0,10482,5362,5120,10289,5278,5011,10280,5263,5017
.1,10644,5451,5193,10615,5432,5183,10450,5349,5101
.2,10913,5624,5289,10876,5597,5279,10682,5428,5254
.3,11191,5727,5464,11092,5693,5399,10979,5663,5316
.4,11374,5676,5698,11352,5706,5646,11110,5717,5393
.5,11272,5679,5593,11327,5699,5628,11406,5713,5693
.6,11257,5772,5485,11295,5773,5522,11447,5764,5683
.7,11260,5733,5527,11276,5752,5524,11385,5819,5566
.8,11622,6005,5617,11535,5938,5597,11399,5839,5560
.9,11689,5982,5707,11684,5996,5688,11655,5977,5678
.10,11840,6027,5813,11814,6019,5795,11713,6005,5708
.11,12125,6192,5933,12028,6131,5897,11894,6062,5832
.12,12398,6265,6133,12414,6286,6128,12141,6198,5943
.13,12295,6173,6122,12330,6203,6127,12494,6332,6162
.14,12105,6060,6045,12163,6086,6077,12393,6228,6165
.15,12036,6008,6028,12105,6046,6059,12380,6189,6191
.16,12143,6176,5967,12156,6158,5998,12187,6074,6113
.17,12063,6187,5876,12095,6186,5909,12299,6227,6072
.18,12954,6476,6478,12942,6467,6475,13139,6528,6611
.19,12839,6396,6443,12837,6398,6439,12813,6390,6423
.20,12085,6017,6068,12158,6060,6098,12212,6137,6075
.21,11287,5723,5564,11285,5718,5567,11506,5838,5668
.22,11224,5713,5511,11224,5712,5512,11422,5826,5596
.23,11155,5678,5477,11219,5711,5508,11355,5811,5544
.24,11361,5727,5634,11291,5687,5604,11412,5786,5626
.25,11870,5981,5889,11765,5935,5830,11429,5800,5629
.26,12273,6230,6043,12212,6177,6035,11927,6011,5916
.27,12525,6287,6238,12485,6281,6204,12364,6218,6146
.28,12977,6502,6475,12875,6454,6421,12651,6363,6288
.29,13596,6773,6823,13460,6703,6757,13002,6478,6524
.30,13757,6827,6930,13767,6825,6942,13547,6702,6845
.31,13584,6703,6881,13589,6707,6882,13892,6837,7055
.32,13003,6441,6562,13107,6481,6626,13616,6723,6893
.33,12591,6256,6335,12684,6298,6386,13160,6490,6670
.34,12523,6185,6338,12520,6183,6337,12770,6338,6432
.35,12400,6229,6171,12514,6253,6261,12612,6253,6359
.36,12283,6177,6106,12244,6146,6098,12643,6288,6355
.37,12367,6255,6112,12384,6248,6136,12284,6129,6155
.38,12088,5976,6112,12218,6067,6151,12496,6253,6243
.39,12057,5907,6150,12050,5922,6128,12356,6146,6210
.40,11860,5836,6024,12001,5897,6104,12096,5934,6162
.41,11655,5735,5920,11717,5758,5959,12126,5939,6187
.42,11314,5473,5841,11349,5518,5831,11841,5805,6036
.43,10744,5201,5543,10965,5305,5660,11418,5551,5867
.44,10486,5088,5398,10469,5080,5389,11030,5324,5706
.45,10614,5186,5428,10645,5192,5453,10469,5047,5422
.46,10483,5095,5388,10487,5099,5388,10682,5210,5472
.47,10961,5379,5582,10849,5313,5536,10616,5136,5480
.48,11668,5687,5981,11509,5616,5893,10885,5314,5571
.49,12709,6163,6546,12534,6081,6453,11573,5625,5948
.50,12491,6049,6442,12566,6081,6485,12593,6111,6482
.51,12083,5858,6225,12142,5876,6266,12732,6158,6574
.52,12163,5794,6369,12138,5804,6334,12231,5919,6312
.53,12774,6124,6650,12629,6051,6578,12319,5883,6436
.54,13208,6363,6845,13092,6300,6792,12707,6088,6619
.55,13764,6587,7177,13655,6538,7117,13183,6334,6849
.56,14084,6814,7270,14093,6792,7301,13808,6586,7222
.57,14243,6802,7441,14237,6804,7433,14348,6855,7493
.58,14326,6828,7498,14337,6827,7510,14476,6906,7570
.59,14317,6784,7533,14394,6810,7584,14517,6858,7659
.60,14061,6666,7395,14168,6715,7453,14640,6887,7753
.61,14158,6703,7455,14154,6693,7461,14487,6841,7646
.62,14517,6853,7664,14479,6845,7634,14501,6808,7693
.63,14064,6598,7466,14373,6743,7630,14824,6953,7871
.64,13888,6483,7405,13931,6503,7428,14734,6889,7845
.65,13583,6356,7227,13723,6412,7311,14190,6619,7571
.66,13269,6217,7052,13426,6286,7140,13892,6470,7422
.67,12955,5980,6975,13027,6037,6990,13563,6331,7232
.68,12521,5703,6818,12564,5742,6822,13071,6039,7032
.69,11627,5359,6268,11931,5477,6454,12653,5775,6878
.70,11370,5331,6039,11406,5333,6073,11867,5434,6433
.71,11215,5199,6016,11241,5223,6018,11320,5260,6060
.72,11432,5335,6097,11213,5227,5986,11149,5187,5962
.73,11410,5387,6023,11897,5599,6298,10968,5099,5869
.74,7951,3634,4317,8272,3815,4457,11724,5494,6230
.75,7842,3633,4209,7852,3630,4222,8051,3682,4369
.76,7726,3550,4176,7640,3516,4124,7610,3504,4106
.77,7597,3490,4107,7744,3555,4189,7395,3374,4021
.78,6376,2906,3470,6498,2975,3523,7460,3402,4058
.79,5536,2482,3054,5661,2538,3123,6218,2833,3385
.80,4933,2178,2755,5026,2222,2804,5399,2417,2982
.81,4588,2041,2547,4578,2034,2544,4719,2061,2658
.82,4259,1899,2360,4290,1913,2377,4278,1880,2398
.83,3655,1588,2067,3733,1631,2102,4005,1745,2260
.84,3334,1439,1895,3337,1455,1882,3451,1512,1939
.85+,18626,6915,11711,18638,6936,11702,18663,7065,11598
,,,,,,,,,
.Median Age (years),41.1,39.7,42.6,41.2,39.8,42.7,41.6,40.1,43
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Delaware: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-10)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
