1,AL,57105,58230,59860,60473,61493,61522,60680,60205,61254,61780,63538,65968,67932,67048,65220,64551,65080,64450,63942,65924,65744,65700,65563,64770,63833,63887,65065,66045,67781,69758,68632,65634,63188,62379,62321,62224,61875,62737,62988,63500,62739,60864,60796,59484,58079,59147,59324,61622,65213,68805,64910,62681,61484,62529,64350,67952,68999,68928,70039,69190,68443,67219,67252,65763,63925,61853,59790,57434,55745,51863,51055,50048,50144,49586,35097,34892,34423,33724,28577,25425,23512,22184,20172,17449,16161,15824,14208,12592,10976,9360,7744,6128,4512,2896,1280,5
2,AK,9657,9631,9904,10207,10494,10352,10319,10308,10396,10388,10292,10406,10408,10157,9729,9773,9609,9537,8589,8266,9424,9873,10095,10314,10465,10905,11121,11524,12001,12085,11911,11528,11425,11262,11458,11265,11019,11110,10490,10206,9728,9147,8920,8587,8310,8248,7956,8151,8520,9101,8914,8514,8284,8474,8698,9181,9440,9607,9729,9691,9597,9199,9142,8823,8534,8473,7941,7474,7026,6378,6138,5626,5382,5117,3699,3614,3395,3137,2672,2383,1985,1735,1594,1399,1228,1211,1088,965,842,720,597,474,352,229,106,5
4,AZ,78100,79410,81423,84527,86831,88767,88472,88301,88476,89188,91892,95678,99470,98954,96059,94768,94507,92018,96022,98341,95544,95631,95483,96972,96840,97161,98633,99715,101623,102748,101106,96614,94555,92963,93890,92321,91301,93109,92682,92517,90863,86177,85420,83795,82819,83913,82000,81940,85713,90507,87085,83755,81293,81190,82069,85842,87560,88145,89286,88886,87645,86782,87417,85329,83647,82704,81433,79485,78182,74441,74132,73577,75179,76252,54458,54306,53897,52712,45030,40323,36532,33808,30577,26783,24211,24072,21651,19230,16809,14388,11967,9546,7125,4704,2283,5
5,AR,35611,36058,37065,37596,38592,38630,38044,38005,38647,38747,39906,41101,42597,42562,41137,40638,40738,40220,38921,39417,40197,39836,39859,38904,38540,38243,38595,39233,40212,41362,40687,39023,38159,37651,37809,37796,38200,38718,38716,39023,38407,36824,36530,35430,34631,35216,34755,35402,37156,38890,37139,35609,34829,35546,36322,38836,39882,39804,40073,39555,39003,38466,38228,37280,36395,35577,34674,33462,32416,30380,29696,29274,29416,29518,21058,21185,20864,20189,17520,15913,14529,13384,12105,10635,9810,9868,8887,7906,6925,5944,4963,3982,3001,2020,1039,179
6,CA,445470,448027,461505,479513,486785,495278,490958,494655,496041,503104,506920,519686,539024,535111,522001,517256,518398,512805,519733,511969,504713,502310,508783,525839,543625,559068,576022,590575,611767,631749,626804,608448,595343,582614,580364,573716,566063,570411,561237,551983,539810,514851,507492,498980,493358,495301,484202,488546,504233,530873,524337,504218,489369,485419,489624,505786,508096,504383,500680,497129,488858,471884,466154,447619,433975,422354,400256,383549,364809,344543,336221,321409,316900,312965,235045,230122,218776,210472,182413,165991,153975,143530,132311,119094,110002,115950,104949,93949,82949,71949,60949,49949,38949,27949,18138,16949
8,CO,62235,62397,64059,66244,67766,68376,67991,67893,69049,70541,72845,74414,76259,76288,74775,74363,75007,73438,73738,75273,72387,72140,73446,76074,79294,83361,86916,90545,93302,94136,93406,91208,90205,90622,90712,89022,87382,87441,85699,84960,81990,78275,76652,73944,71984,72190,70088,70525,73629,77543,74483,71097,67243,66131,66601,70242,71835,72347,73920,73699,72618,71534,71031,68730,66987,64896,62677,60846,58546,53775,51752,49570,49189,48561,33585,32660,31468,29991,25514,22460,20417,19102,17197,15259,13961,14341,12945,11549,10153,8757,7361,5965,4569,3173,1777,1162
9,CT,34477,35349,36502,37238,38018,38627,38558,39009,39718,40679,41957,43671,45389,45884,45903,46315,47167,47148,50923,51991,52290,50846,47179,44459,44110,44439,45260,45338,44212,43898,44025,44214,45178,45469,46243,45567,45243,45564,45306,45061,44588,43491,43035,42153,41476,41692,41378,43076,46611,50608,50199,49609,49245,50925,52731,54505,54971,54227,54511,54244,53144,52031,51336,48853,46865,44983,42557,40635,38594,35369,34441,33553,34267,34761,25141,24689,24783,24771,20612,18003,16433,15632,14547,13051,12227,13431,12208,10985,9763,8540,7318,6095,4872,3673,3650,2427
10,DE,10482,10644,10913,11191,11374,11272,11257,11260,11622,11689,11840,12125,12398,12295,12105,12036,12143,12063,12954,12839,12085,11287,11224,11155,11361,11870,12273,12525,12977,13596,13757,13584,13003,12591,12523,12400,12283,12367,12088,12057,11860,11655,11314,10744,10486,10614,10483,10961,11668,12709,12491,12083,12163,12774,13208,13764,14084,14243,14326,14317,14061,14158,14517,14064,13888,13583,13269,12955,12521,11627,11370,11215,11432,11410,7951,7842,7726,7597,6376,5536,4933,4588,4259,3655,3334,3355,3021,2688,2355,2021,1688,1355,1021,688,355,69
11,DC,8886,8598,8542,8475,8408,8157,7617,7677,7462,7014,6578,6321,6186,5909,5438,5157,5100,5119,8672,11852,10162,8524,7792,10120,12384,13990,15077,15463,16284,16819,16906,16657,16312,15438,14850,14145,13472,12832,12122,11335,10736,10009,9145,8405,7786,7640,7288,7433,7579,7852,7428,7103,6877,6742,6888,7289,7230,7257,7107,7103,6877,6608,6537,6314,6182,6012,5887,5520,5288,5068,4909,4714,4545,4347,3284,3270,3143,3011,2704,2357,2246,2048,1916,1721,1549,1718,1563,1408,1253,1098,944,789,634,519,479,324
12,FL,216820,219879,224949,229162,234195,233966,233369,232150,234793,236192,240682,247672,257039,256840,251515,247694,247229,242444,243380,241102,243807,245427,246765,250678,253979,258216,264748,270675,279379,289318,290804,283848,278434,274600,275079,273032,270839,274706,271732,270993,267112,259332,259857,255825,252554,254279,253288,262479,276554,290167,279550,270622,268864,275825,282943,297810,303235,302279,303796,300725,294229,290219,290227,283582,278055,274173,268534,262921,259330,247282,244268,243309,250315,256041,188020,185902,186284,185354,158904,142876,130742,123158,112953,100910,92357,94276,85040,75804,66569,57333,48098,38862,29626,20391,11155,5854
13,GA,124074,125452,129328,132374,135148,136687,135466,136160,138992,140417,144559,149685,155555,155218,151936,149493,150477,148100,148386,151040,146701,143740,141943,141342,141872,144048,147423,150690,152918,154536,153054,149073,145450,143126,143796,143302,141957,144831,144128,145181,144010,139199,137827,134910,133028,135189,134755,139567,146927,154041,146378,139590,136000,137367,139325,143355,142947,140616,139739,136526,132293,129041,126631,123039,118316,113882,108673,104497,100862,94429,92377,90297,90277,88649,63490,62202,60230,58221,49095,43891,39795,36324,32353,28311,26096,25710,23100,20491,17881,15272,12662,10053,7443,4834,2224,5
15,HI,16714,16966,17416,17781,18134,18062,18181,18493,18095,17870,17097,17107,17422,16782,16274,16251,16357,15891,15180,15642,16854,17858,17981,18146,18638,19210,19784,19959,20437,20900,20716,20182,20019,20210,20062,19972,20102,20319,20033,19829,19550,18468,17845,17292,16870,16753,16604,16724,17343,18404,18320,17435,16945,17038,17436,18186,18392,18691,18608,18764,18932,18552,18518,18317,18169,17969,17563,17625,16628,15949,16157,15439,15082,14683,11311,11306,10554,9481,8288,7569,6921,6250,5878,5296,4963,5880,5383,4887,4391,3895,3399,2902,2800,2406,1910,1414
16,ID,21581,21915,22700,23917,24779,25154,24811,25143,25139,25765,26833,27662,28602,28514,27698,27563,27484,26531,25039,23972,22839,23459,24190,24332,24187,23732,24027,24154,24343,24616,24380,23650,23340,23516,23947,24190,24262,24616,24690,24740,24317,23764,23263,22319,21583,21419,20568,20417,21453,22375,21395,20849,19997,20296,20260,20972,21880,22451,23292,23218,22701,22551,22881,22567,22127,21587,21264,20906,20245,18480,17892,17421,17471,17371,12119,12086,11912,11477,9703,8615,7825,7281,6361,5531,5022,5020,4517,4015,3513,3011,2509,2007,1505,1003,501,5
17,IL,141497,143318,148111,151585,155319,155805,153053,153828,155602,157951,162738,166825,172222,172456,169821,169751,172735,170415,166153,165817,165425,163396,163057,164547,167014,170450,173862,176484,178625,179553,177342,173489,172728,172083,174550,174085,172141,174373,173443,173399,171710,164810,163115,158987,155564,155832,153148,156230,165085,173694,166763,161842,159011,161033,163642,169928,171983,172601,174319,174176,171185,168480,167096,160075,154786,150256,142023,136583,131509,122352,117642,113057,112620,111056,79193,77603,77278,76918,66409,58970,53735,51218,47433,42395,39402,41547,37606,33666,29726,25786,21846,17906,13966,10026,6544,6086
18,IN,80250,81440,83599,84421,86580,87295,86646,87109,87142,87506,90126,92584,95438,95031,93112,92358,93818,92299,88591,98606,99102,97121,94016,90119,88785,88805,89496,91061,92850,92197,89707,87183,85468,84823,86067,85707,85187,87340,87225,87772,87051,84360,83221,80590,78942,79755,78173,80690,85465,90427,85449,82271,80424,82372,83824,88437,90392,89696,91388,91164,89272,88412,88393,85063,82258,79871,76676,73709,71364,65395,63328,61501,60435,59771,41711,41458,41073,40720,34945,31344,28309,26937,24681,21734,20043,20718,18713,16709,14705,12701,10697,8692,6688,4684,2680,2061
19,IA,37075,37723,38957,39769,40618,40954,40607,40409,40037,40140,42316,43672,44818,44678,43377,42613,42887,42248,42720,48137,47665,47222,46103,42595,40888,40356,40479,40661,41050,40314,39621,38389,37752,38331,40023,40782,40778,41671,41905,41457,41131,39403,38222,36601,35445,35486,33821,34300,36752,39234,37940,37154,36143,37243,37906,39934,41347,42122,43596,43776,43256,42578,42278,40914,39992,39220,37609,36499,35789,32738,31177,29849,29533,29229,20324,20059,20134,19900,17260,15932,14816,14196,13081,11967,11362,12038,10901,9765,8629,7493,6357,5221,4085,2949,2065,1813
20,KS,35362,35876,36824,37708,38688,38829,39014,39248,39384,39929,41211,41830,42752,42427,41420,40783,41334,40826,39633,42735,44339,43239,42223,41263,39410,39089,38436,38704,38787,37724,37227,37038,36837,37412,38446,38944,38786,39288,39081,38789,37874,36012,35154,34160,33032,32842,31595,31784,33679,35532,34193,33037,31889,32679,33666,35794,37141,37872,38883,38842,38112,37824,37529,36648,35573,34639,33252,31870,30863,28320,27054,25938,25787,25578,17773,17825,17811,17205,14705,13418,12261,11662,10952,9811,9263,9931,9004,8078,7152,6226,5300,4373,3447,2521,2040,1595
21,KY,52581,53404,54433,54863,55842,56067,55921,55994,55568,55585,57014,59079,60590,60590,58959,58635,59089,58324,57523,59116,59660,59501,59349,59248,58739,58952,58775,59623,61317,62474,60990,57996,55760,54909,55044,55144,55456,57117,57056,58125,57676,56317,55995,54581,53327,53697,53110,54729,58549,61298,57840,56594,55654,56787,58015,61483,62504,62003,62607,61614,60761,60400,60152,57997,56317,55152,52972,50845,49802,46006,44718,43857,43455,43175,29780,29440,29118,28234,24223,21923,20020,18850,17022,14475,13425,13508,12165,10823,9480,8138,6796,5453,4111,2768,1426,255
22,LA,56953,57597,59434,60554,61864,61562,61040,59831,59686,60018,61435,63685,65602,64929,62412,61347,61254,60555,58098,57366,59231,60089,60489,60549,59852,60637,62201,63631,65911,68034,66917,65275,63626,63298,64354,64025,63817,64522,63702,63223,61093,58460,56900,55181,52711,51793,51119,52551,55301,57750,55653,55061,54474,55799,57246,60303,61477,61667,62493,62133,61911,61063,60163,58845,57710,56009,53135,50673,48989,45798,43875,42191,41930,41429,29272,29065,28241,27385,23579,21289,19549,18155,16687,14555,13406,13509,12168,10828,9487,8147,6806,5466,4125,2785,1444,316
23,ME,12352,12616,12558,13008,13369,13485,13552,13595,13595,13760,14534,14891,15439,15510,15408,15444,15854,15794,16127,16189,15443,14943,14739,14510,14813,15149,15701,16084,16354,16681,16693,16813,16697,16598,16878,16448,16228,16443,16385,16390,16228,15794,15669,15099,14913,15309,15363,16072,17521,18767,18176,18031,18072,18820,19162,20129,21118,21566,22193,22011,21615,21945,22147,21436,20829,20381,20188,19579,18960,17445,17002,16792,16923,16522,11192,11133,11272,10877,9141,8016,7198,6875,6277,5592,5207,5367,4846,4325,3805,3284,2764,2243,1722,1202,681,490
24,MD,70621,71678,73232,74134,75454,75699,74775,75064,76090,76971,78291,79595,82206,81303,79205,78482,79043,78095,80222,77594,76098,74532,72859,73426,74864,77171,79348,81392,82020,84523,85904,84990,85562,85714,85959,85175,84699,85402,84617,84774,82719,79326,77849,75817,73992,73793,72493,75325,80454,85986,83727,82489,81945,83461,85484,88899,89921,88636,88238,86867,84820,83253,81077,77163,73949,71349,67403,65131,62112,58137,55949,54778,54970,54273,38820,38312,37339,36863,31648,27940,25286,23640,21663,18979,17543,18626,16871,15117,13363,11609,9855,8100,6346,4592,3304,2838
25,MA,69686,70150,71790,72862,73640,74353,74208,74932,75606,76522,77648,79605,82226,82391,81799,82718,85359,85784,100599,110384,104225,99499,94725,91896,95232,97730,99874,100911,100358,100636,101944,101429,100981,99959,98794,96001,93364,93255,91220,89566,87722,85676,84203,81649,80925,81696,81210,83678,88948,95580,93765,93080,92917,95340,97332,100798,101677,100701,101012,99730,97507,96239,95180,90821,87663,84979,80916,77984,74819,69327,67243,65851,66025,65771,46372,45594,44831,44371,37172,32810,29852,28437,26305,24042,22359,24119,21883,19647,17411,15175,12940,10704,8468,6232,5368,3996
26,MI,108323,109901,112808,115472,117570,118300,117996,117557,118274,119255,122867,125740,129529,130352,128725,129089,131942,130535,133232,131021,133861,136538,135780,134331,132187,132534,133480,134812,137738,140952,136392,127990,123755,120995,122818,121807,120737,122998,122864,123215,121722,119123,117512,113799,112032,113301,113556,117986,127265,136648,131712,128448,127118,130298,132323,138305,142404,143019,145511,144698,142633,143196,144049,139338,134471,130222,125336,120951,117833,108086,103492,100326,99576,98404,68457,67631,67933,67926,57935,50433,45429,42950,39186,34760,32433,33575,30331,27088,23845,20602,17359,14115,10872,7629,4386,3485
27,MN,66563,67588,69395,71828,73146,73704,73466,73158,72982,73186,75600,77250,79288,78766,76963,76445,77240,74953,71483,72144,71154,70624,70523,69882,70800,72253,74094,75268,75732,75054,75516,75861,76618,77870,79476,79805,79284,80450,80199,79398,76696,73180,70483,67068,65091,64535,62217,63077,67343,72673,70696,69053,67464,68950,71152,75046,77510,78849,80489,80273,78842,77253,76102,72919,70105,67795,65178,62930,61097,55682,53147,50545,49802,49084,34469,34475,34247,33932,29090,26333,24100,22943,20934,19124,17743,18829,17054,15280,13506,11732,9958,8183,6409,4635,3315,2861
28,MS,35138,35604,36362,36532,37117,37234,37051,37107,37854,38127,39746,42124,43857,44099,41919,40980,41154,40250,39486,41024,40452,39900,39872,39032,38401,38334,38915,39457,40201,40409,39842,38111,36263,35888,36514,36776,36686,37918,38111,38643,37820,36455,36083,35303,34587,34392,34026,35251,37233,39041,37048,35792,35340,35555,36483,38443,39184,39355,39923,39570,39169,38423,38065,37462,36294,35583,33924,32210,31412,29588,28647,27751,27673,27502,19327,19032,18647,18158,15610,14268,13033,12310,11261,9744,8982,8824,7925,7027,6129,5231,4333,3435,2537,1639,741,5
